NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2018,Median Age,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2019,Median Age,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2020,Median Age,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2021,Median Age,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2022,Median Age,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2023,Median Age,City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2018,Sex by Age (full),City,B01001_002E,231158.0,B01001_002E
"Long Beach city, California",06,43000,2019,Sex by Age (full),City,B01001_002E,230878.0,B01001_002E
"Long Beach city, California",06,43000,2020,Sex by Age (full),City,B01001_002E,227632.0,B01001_002E
"Long Beach city, California",06,43000,2021,Sex by Age (full),City,B01001_002E,229759.0,B01001_002E
"Long Beach city, California",06,43000,2022,Sex by Age (full),City,B01001_002E,228674.0,B01001_002E
"Long Beach city, California",06,43000,2023,Sex by Age (full),City,B01001_002E,226934.0,B01001_002E
"Long Beach city, California",06,43000,2018,Race (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2019,Race (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2020,Race (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2021,Race (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2022,Race (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2023,Race (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2018,Median Age,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2019,Median Age,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2020,Median Age,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2021,Median Age,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2022,Median Age,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2023,Median Age,City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2018,Sex by Age (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2019,Sex by Age (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2020,Sex by Age (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2021,Sex by Age (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2022,Sex by Age (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2023,Sex by Age (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2018,Race (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2019,Race (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2020,Race (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2021,Race (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2022,Race (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2023,Race (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2018,Median Age,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2019,Median Age,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2020,Median Age,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2021,Median Age,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2022,Median Age,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2023,Median Age,City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2018,Sex by Age (full),City,B01001_002M,2066.0,B01001_002M
"Long Beach city, California",06,43000,2019,Sex by Age (full),City,B01001_002M,1916.0,B01001_002M
"Long Beach city, California",06,43000,2020,Sex by Age (full),City,B01001_002M,1930.0,B01001_002M
"Long Beach city, California",06,43000,2021,Sex by Age (full),City,B01001_002M,2030.0,B01001_002M
"Long Beach city, California",06,43000,2022,Sex by Age (full),City,B01001_002M,2208.0,B01001_002M
"Long Beach city, California",06,43000,2023,Sex by Age (full),City,B01001_002M,2219.0,B01001_002M
"Long Beach city, California",06,43000,2018,Race (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2019,Race (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2020,Race (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2021,Race (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2022,Race (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2023,Race (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2018,Median Age,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2019,Median Age,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2020,Median Age,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2021,Median Age,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2022,Median Age,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2023,Median Age,City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2018,Sex by Age (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2019,Sex by Age (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2020,Sex by Age (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2021,Sex by Age (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2022,Sex by Age (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2023,Sex by Age (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2018,Race (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2019,Race (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2020,Race (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2021,Race (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2022,Race (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2023,Race (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_003E,,B01001_003E
