NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_005MA,,B01001_005MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_005MA,,B01001_005MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_006M,,B01001_006M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_006M,,B01001_006M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_006M,,B01001_006M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_006M,,B01001_006M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_006M,,B01001_006M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_006M,,B01001_006M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_006MA,,B01001_006MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_006MA,,B01001_006MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_006MA,,B01001_006MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_006MA,,B01001_006MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_006MA,,B01001_006MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_006MA,,B01001_006MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_007E,,B01001_007E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_007E,,B01001_007E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_007E,,B01001_007E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_007E,,B01001_007E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_007E,,B01001_007E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_007E,,B01001_007E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_007EA,,B01001_007EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_007EA,,B01001_007EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_007EA,,B01001_007EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_007EA,,B01001_007EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_007EA,,B01001_007EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_007EA,,B01001_007EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_007M,,B01001_007M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_007M,,B01001_007M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_007M,,B01001_007M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_007M,,B01001_007M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_007M,,B01001_007M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_007M,,B01001_007M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_007MA,,B01001_007MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_007MA,,B01001_007MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_007MA,,B01001_007MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_007MA,,B01001_007MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_007MA,,B01001_007MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_007MA,,B01001_007MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_008E,,B01001_008E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_008E,,B01001_008E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_008E,,B01001_008E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_008E,,B01001_008E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_008E,,B01001_008E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_008E,,B01001_008E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_008EA,,B01001_008EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_008EA,,B01001_008EA
